Mnemonic,ISIN,Issuer Name
BGEO,GB00BF4HYT85,BANK OF GEORGIA GROUP PLC
OCN,BMG6699D1074,OCEAN WILSONS HOLDINGS LD
SDY,GB0000163088,SPEEDY HIRE PLC
AEP,GB0000365774,ANGLO-EASTERN PLANTATIONS PLC
AVON,GB0000667013,AVON PROTECTION PLC
TED,GB0001048619,TED BAKER PLC
BOOT,GB0001110096,BOOT (HENRY) PLC
XAR,GB0001570810,XAAR PLC
DVO,GB0002670437,DEVRO PLC
GOG,GB0003753778,GO-AHEAD GROUP PLC
HEAD,GB0004170089,HEADLAM GROUP PLC
HTG,GB0004478896,HUNTING PLC
KLR,GB0004866223,KELLER GROUP PLC
KIE,GB0004915632,KIER GROUP PLC
MACF,GB0005518872,MACFARLANE GROUP PLC
MER,GB0005630420,MEARS GROUP PLC
MCB,GB0005746358,MCBRIDE PLC
MNZS,GB0005790059,MENZIES(JOHN) PLC
PRV,GB0006963689,PORVAIR PLC
RCDO,GB0007370074,RICARDO PLC
RPS,GB0007594764,RPS GROUP PLC
SUS,GB0007655037,S & U PLC
KCT,GB0007689002,KIN AND CARTA PLC
SNR,GB0007958233,SENIOR PLC
SHI,GB0008025412,SIG PLC
RWA,GB0008475088,ROBERT WALTERS PLC
PHTM,GB0008481250,PHOTO-ME INTERNATIONAL PLC
TTG,GB0008711763,TT ELECTRONICS PLC
TRI,GB0008883927,TRIFAST PLC
RCH,GB0009039941,REACH PLC
VTC,GB0009296665,THE VITEC GROUP PLC
ZTF,GB0009896605,ZOTEFOAMS PLC
WIN,GB0030329360,WINCANTON PLC
BMY,GB0033147751,BLOOMSBURY PUBLISHING PLC
CSN,GB00B00FPT80,CHESNARA PLC
PAY,GB00B02QND93,PAYPOINT PLC
ESKN,GB00B03HDJ73,ESKEN LIMITED
HLCL,GB00B0FYMT95,HELICAL PLC
STEM,GB00B0KM9T71,STHREE PLC
RTN,GB00B0YG1K06,RESTAURANT GROUP PLC
CLIG,GB00B104RS51,CITY OF LONDON INVESTMENT GROUP PLC
LOOK,GB00B17MMZ46,LOOKERS PLC
TPT,GB00B18P5K83,TOPPS TILES PLC
LSL,GB00B1G5HX72,LSL PROPERTY SERVICES PLC
PDG,GB00B1JQBT10,PENDRAGON PLC
MARS,GB00B1JQDM80,MARSTON'S PLC
PPH,GG00B1Z5FH87,PPHE HOTEL GROUP LD
IPF,GB00B1YKG049,INTERNATIONAL PERSONAL FINANCE PLC
FSTA,GB00B1YPC344,"FULLER,SMITH & TURNER PLC"
SFR,GB00B27YGJ97,SEVERFIELD PLC
REC,GB00B28ZPS36,RECORD PLC
DLAR,GB00B3DGH821,DE LA RUE PLC
SDRY,GB00B60BD277,SUPERDRY PLC
ENQ,GB00B635TG28,ENQUEST PLC
