,Stock,Epic,Qty,Price,Target,Stop,Buy Date,Sell,Sell Date,P/L
261,Peter Hambro,POG,10,1377.0,1450,1350,09/02/2008,1469.0,22/02/2008,920.0
262,Smith & N,SN.,10,633.0,720,595,07/02/2008,646.0,10/03/2008,130.0
263,Lamprell,LAM,20,365.0,450,310,01/02/2008,526.0,04/07/2008,3220.0
264,Dana,DNX,10,1304.0,1450,1220,31/01/2008,1525.0,28/07/2008,2210.0
265,RBS,RBS,100,17.1,25,13,27/01/2008,21.0,16/02/2009,390.0
266,Peter H,POG,10,1302.0,1500,1250,24/01/2008,1469.0,22/02/2008,1670.0
267,BG,BG,10,986.0,1085,960,23/01/2008,1309.0,15/04/2008,3230.0
268,Dragon,DGO,10,324.0,400,300,23/01/2008,462.0,04/07/2008,1380.0
269,Dragon,DGO,10,307.0,400,300,23/01/2008,339.0,22/07/2008,320.0
270,New Brit,NBPO,15,386.0,500,290,22/01/2008,525.0,03/07/2008,2085.0
271,Wood,WG.,10,389.0,440,370,11/01/2008,383.0,15/01/2008,-60.0
272,Peter Hambro,POG,5,1390.0,1650,1300,10/01/2008,1483.0,25/01/2008,465.0
273,MP Evans,MPE,20,422.0,550,390,08/01/2008,452.0,18/03/2008,600.0
274,PV Crysal,PVCS,40,135.0,185,120,20/12/2007,172.2,26/09/2008,1488.0
275,New Brit Palm,NBPO,15,285.0,350,240,17/12/2007,459.0,17/01/2008,2610.0
276,Dragon,DGO,15,339.0,450,300,12/12/2007,358.0,21/01/2008,285.0
277,Dana,DNX,5,1347.0,1500,1125,05/12/2007,1356.0,15/01/2008,45.0
278,Wellstream,WSM,10,1004.0,1200,940,30/11/2007,1256.0,17/01/2008,1590.0
279,Bowleven,BVN,20,291.0,350,280,28/11/2007,313.0,17/12/2007,440.0
280,Dana,DNX,10,1265.0,1500,1125,28/11/2007,1356.0,15/01/2008,910.0
281,Tullow,TLW,10,596.0,850,565,20/11/2007,661.0,08/01/2008,640.0
282,Burren,BUR,10,988.0,1250,920,19/11/2007,1239.0,13/12/2007,2510.0
283,Corin,Crg,10,586.0,640,535,13/11/2007,614.0,20/11/2007,280.0
284,Vanco,VAN,30,158.0,195,140,13/11/2007,152.0,19/11/2007,-180.0
285,Wellstream,WSM,10,955.0,1100,870,02/11/2007,944.0,19/11/2007,-110.0
286,Bowleven,BLVN,20,339.0,420,292,26/10/2007,318.0,15/11/2007,-420.0
287,Wellstream,WSM,10,836.0,950,800,23/10/2007,944.0,19/11/2007,1080.0
288,Charter,CHTR,10,1129.0,0,0,22/10/2007,1161.0,26/10/2007,310.0
289,IG Index,IGG,20,375.0,440,330,21/09/2007,415.0,30/10/2007,800.0
290,Dragon Oil,DGO,20,286.0,350,245,11/09/2007,308.0,19/11/2007,440.0
291,Dragon Oil,DGO,30,228.0,290,220,01/09/2007,291.0,04/08/2008,1890.0
292,Sondex,SDX,30,309.0,400,290,22/08/2007,354.0,04/09/2007,4350.0
293,Vent Prod,VPC,10,818.0,895,780,23/07/2007,721.0,20/09/2007,-970.0
294,Hunting,HTG,20,386.0,425,370,21/06/2007,697.0,16/08/2007,6220.0
295,Oilexco,OIL,15,620.0,750,580,18/06/2007,774.0,09/11/2007,2310.0
296,Trifast,TRI,100,79.0,98,68,21/12/2006,70.0,21/11/2007,-900.0
297,Mouchel Parkman,MCHL,30,420.0,500,380,12/12/2006,443.0,15/11/2007,690.0
298,Mouchel Parkman,MCHL,25,319.0,350,295,06/02/2006,423.0,26/06/2008,2600.0
299,Mouchel Parkman,MCHL,25,319.0,350,295,06/02/2006,444.0,03/06/2008,3540.0
300,Cape,CIU,10,375.0,420,340,03/04/0012,394.0,04/05/2012,190.0
